sample_id	run_id	assay_type	run_classification	summary_axis	interpretation_label	count
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	source_interpretation_label	coding_common_or_low_support	25169
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	source_interpretation_label	coding_uninterpretable	1196
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	source_interpretation_label	lof_or_missense_rare	1121
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	source_interpretation_label	noncoding_common_or_low_support	3344586
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	source_interpretation_label	noncoding_uninterpretable	1152270
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	source_interpretation_label	regulatory_or_transcript_rare	112242
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	variant_origin	coding	27486
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	variant_origin	noncoding	4609098
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	source_interpretation_label	coding_common_or_low_support	25169
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	source_interpretation_label	coding_uninterpretable	1196
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	source_interpretation_label	lof_or_missense_rare	1121
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	source_interpretation_label	noncoding_common_or_low_support	3344586
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	source_interpretation_label	noncoding_uninterpretable	1152270
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	source_interpretation_label	regulatory_or_transcript_rare	112242
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	variant_origin	coding	27486
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	variant_origin	noncoding	4609098
